,Name,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
75,Tabou,100,CI,1584273755,93,4.42,-7.35,77.48600000000008,5.9502604
76,Kavieng,100,PG,1584273758,70,-2.57,150.8,85.40600000000003,5.2120702
77,Cayenne,90,GF,1584273604,74,4.93,-52.33,82.4,8.052984
78,Torbay,90,CA,1584273762,74,47.67,-52.73,30.991999999999997,21.922012000000002
79,Katsuura,40,JP,1584273764,71,35.13,140.3,51.998000000000026,11.408394
80,Fare,1,PF,1584273766,77,-16.7,-151.02,82.50800000000001,11.967629
81,Saskylakh,100,RU,1584273768,90,71.92,114.08,22.208000000000006,10.6702038
82,Havøysund,20,NO,1584273770,54,71.0,24.66,28.4,28.856526000000002
83,Busselton,45,AU,1584273772,89,-33.65,115.33,68.0,8.4108944
84,Tiksi,64,RU,1584273775,79,71.69,128.87,-9.093999999999973,11.9452596
85,Temerloh,97,MY,1584273606,88,3.45,102.42,77.48600000000008,1.006623
86,Bredasdorp,100,ZA,1584273779,63,-34.53,20.04,66.2,16.105968
87,Gazimurskiy Zavod,0,RU,1584273781,89,51.55,118.33,11.408000000000005,5.9726298
88,Shimoda,33,JP,1584273783,66,34.67,138.95,50.0,1.9908766000000002
89,Péta,20,GR,1584273785,77,39.17,21.03,68.0,11.408394
90,Shirokiy,39,RU,1584273787,93,49.76,129.52,6.206000000000028,4.608096400000001
91,Hong Kong,20,HK,1584273558,68,22.29,114.16,71.00600000000003,11.408394
92,San Vicente,19,AR,1584273791,48,-26.62,-54.13,80.00600000000003,3.7804286
93,Aleksandrov Gay,76,RU,1584273794,36,50.15,48.57,47.408,23.2194372
94,Cascais,20,PT,1584273796,63,38.7,-9.42,62.99600000000005,20.803542000000004
95,Carnarvon,40,AU,1584273798,74,-24.87,113.63,78.8,9.171454
96,Dwārka,55,IN,1584273800,41,22.24,68.97,81.80600000000003,16.9112664
97,Morón,100,AR,1584273802,93,-34.65,-58.62,62.99600000000005,5.816044000000001
98,Teya,96,RU,1584273804,87,60.38,92.63,30.14600000000005,9.5964726
99,Tuktoyaktuk,98,CA,1584273807,89,69.45,-133.04,0.08600000000001984,21.8996426
100,São Gabriel da Cachoeira,100,BR,1584273809,90,-0.13,-67.09,75.68600000000006,0.559235
101,Moose Factory,90,CA,1584273811,83,51.26,-80.61,-14.799999999999947,5.816044000000001
102,Brae,42,GB,1584273813,86,60.4,-1.35,44.6,20.803542000000004
103,Cherskiy,100,RU,1584273815,96,68.75,161.3,3.3080000000000034,4.8988986
104,Dikson,100,RU,1584273817,98,73.51,80.55,-6.39399999999997,5.1002232
105,Bambous Virieux,40,MU,1584273819,70,-20.34,57.76,84.2,6.934514000000001
106,Hervey Bay,40,AU,1584273821,68,-25.3,152.85,73.00400000000005,10.289924
107,Sirsa,21,IN,1584273665,36,29.53,75.02,74.066,7.6503348
108,Butaritari,63,KI,1584273828,79,3.07,172.79,83.96600000000001,16.7323112
109,Poum,100,NC,1584273830,79,-20.23,164.02,83.408,34.4041372
110,Tulum,5,MX,1584273821,94,20.22,-87.47,75.99199999999999,4.697574
111,Kāmāreddi,61,IN,1584273834,26,18.32,78.35,90.608,7.8516594
112,Presidencia Roque Sáenz Peña,100,AR,1584273836,89,-26.79,-60.44,74.78600000000007,7.2924244
113,Egvekinot,82,RU,1584273838,89,66.32,-179.17,6.908000000000005,6.7331894
114,Cidreira,42,BR,1584273841,71,-30.18,-50.21,75.14600000000004,5.301547800000001
115,Antofagasta,20,CL,1584273843,82,-23.65,-70.4,64.4,3.35541
116,Kozhva,45,RU,1584273845,82,65.11,57.05,12.866000000000007,6.688450600000001
117,Saint George,75,US,1584273808,70,37.1,-113.58,51.008,9.171454
118,Canutama,100,BR,1584273849,97,-6.53,-64.38,75.14600000000004,1.5882274
119,Tchibanga,10,GA,1584273851,81,-2.85,11.03,84.86600000000001,5.7265664
120,Oud-Beijerland,90,NL,1584273853,76,51.82,4.41,51.998000000000026,19.461378
121,Alice Springs,0,AU,1584273666,19,-23.7,133.88,78.8,8.052984
122,Tilichiki,67,RU,1584273858,88,60.47,166.1,9.446000000000048,3.7133204
123,Nome,100,US,1584273860,97,64.5,-165.41,28.166000000000007,8.4108944
124,Bukama,58,CD,1584273862,57,-9.2,25.85,90.266,1.8790296
125,Port Elizabeth,90,ZA,1584273616,88,-33.92,25.57,68.0,10.289924
126,Codrington,0,AU,1584273866,76,-38.27,141.97,59.108000000000004,17.112591000000002
127,Lábrea,100,BR,1584273868,96,-7.26,-64.8,75.68600000000006,1.6329662
128,Raton,90,US,1584273870,94,36.9,-104.44,35.6,11.408394
129,Semey,96,KZ,1584273865,80,50.41,80.23,35.6,13.42164
130,Atar,0,MR,1584273877,12,20.52,-13.05,85.40600000000003,13.0637296
131,Mahon,40,ES,1584273810,67,39.89,4.27,62.6,5.816044000000001
132,Ola,21,RU,1584273881,97,59.58,151.28,-1.7139999999999844,2.6395892
133,Dzhebariki-Khaya,96,RU,1584273883,90,62.22,135.8,-12.33399999999994,3.6238428000000007
134,Bethel,90,US,1584273885,52,41.37,-73.41,42.008,6.934514000000001
135,Gaoua,98,BF,1584273887,26,10.3,-3.25,102.50600000000003,3.8251674
136,Dano,88,BF,1584273890,28,11.15,-3.07,100.70600000000003,5.7265664
137,Jalu,0,LY,1584273892,14,29.03,21.55,80.708,4.3172942
138,Suntar,100,RU,1584273896,92,62.14,117.63,30.68600000000007,5.0554844
139,Provideniya,100,RU,1584273898,97,64.38,-173.3,24.008000000000003,2.8409138
140,Leshukonskoye,22,RU,1584273901,78,64.9,45.76,21.308000000000003,7.068730400000001
141,Camacha,40,PT,1584273903,52,33.08,-16.33,64.4,21.922012000000002
142,Atbasar,100,KZ,1584273905,96,51.8,68.33,35.54600000000005,14.7414346
143,Souillac,40,MU,1584273907,70,-20.52,57.52,84.2,6.934514000000001
144,Eureka,90,US,1584273909,93,40.8,-124.16,41.0,11.408394
145,Khatanga,100,RU,1584273911,93,71.97,102.5,5.306000000000029,10.401771000000002
146,Khovd,13,MN,1584273913,37,48.01,91.64,29.24600000000005,1.0289924000000001
147,Tashtyp,90,RU,1584273915,89,52.79,89.9,34.28600000000007,14.875651000000001
148,Pierre,90,US,1584273902,86,44.37,-100.35,30.991999999999997,17.224438000000003
149,Fortuna,90,US,1584273920,93,40.6,-124.16,41.0,11.408394
150,Taltal,34,CL,1584273922,79,-25.4,-70.48,61.46600000000001,1.6329662
151,Adrar,0,MR,1584273924,8,20.5,-10.07,86.30600000000003,12.057106600000001
152,Hasaki,40,JP,1584273708,80,35.73,140.83,42.8,4.697574
153,Bengkulu,94,ID,1584273927,91,-3.8,102.27,78.20600000000003,4.250186
154,Aksakovo Municipality,75,BG,1584273930,65,43.25,27.82,42.008,19.461378
155,Wiwilí,63,NI,1584273935,98,13.63,-85.83,63.44600000000005,3.2883018
156,Price,1,US,1584273937,80,39.6,-110.81,37.99400000000007,5.816044000000001
157,Ponta do Sol,40,PT,1584273939,55,32.67,-17.1,64.4,13.869028000000002
158,Sikonge,75,TZ,1584273941,62,-5.63,32.77,84.2,5.816044000000001
159,Tasiilaq,100,GL,1584273943,54,65.61,-37.64,5.0,3.35541
160,Tupanciretã,53,BR,1584273946,36,-29.08,-53.84,84.14600000000004,6.554234200000001
161,Constitución,0,CL,1584273948,59,-35.33,-72.42,54.608000000000004,5.480503000000001
162,Port Alfred,94,ZA,1584273952,69,-33.59,26.89,74.60600000000002,19.3047922
163,Kaohsiung City,40,TW,1584273940,60,22.62,120.31,69.8,6.934514000000001
164,Chui,77,UY,1584273956,65,-33.7,-53.46,71.00600000000003,9.395148
165,Cabo San Lucas,40,MX,1584273899,87,22.89,-109.91,62.99600000000005,5.010745600000001
166,Hambantota,20,LK,1584273960,55,6.12,81.12,91.4,10.289924
167,Narsaq,75,GL,1584273963,57,60.92,-46.05,23.0,1.11847
168,Puerto Ayora,1,EC,1584273955,92,-0.74,-90.35,75.99199999999999,6.3529096
169,Jaqué,22,PA,1584273967,92,7.52,-78.17,69.38600000000007,3.131716
170,Jamestown,90,US,1584273969,74,42.1,-79.24,30.2,8.052984
171,Östersund,90,SE,1584273971,80,63.18,14.64,37.99400000000007,14.987498000000002
172,Tutóia,100,BR,1584273973,92,-2.76,-42.27,76.04600000000005,0.15658580000000002
173,São Filipe,0,CV,1584273975,64,14.9,-24.5,74.066,19.6627026
174,Biltine,21,TD,1584273977,7,14.53,20.92,97.10600000000002,7.627965400000001
175,Mashhad,75,IR,1584273980,19,36.3,59.61,75.2,9.171454
176,Banda Aceh,60,ID,1584273982,86,5.56,95.32,78.38600000000007,4.876529200000001
